newtimestamp,Current Time(seconds),Nox,Nox(target)
9/7/19 14:15,41,21.3,18.5
9/7/19 14:30,110,18.5,21.9
9/7/19 14:45,118,21.9,19.2
9/7/19 15:00,103,19.2,20.6
9/7/19 15:15,165,20.6,25
9/7/19 15:30,206,25,19
9/7/19 15:45,183,19,27.2
9/7/19 16:00,206,27.2,18.2
9/7/19 16:15,110,18.2,26
9/7/19 16:30,97,26,23.7
9/7/19 16:45,41,23.7,29.8
9/7/19 17:00,63,29.8,31.8
9/7/19 17:15,75,31.8,27.5
9/7/19 17:30,103,27.5,26.6
9/7/19 17:45,75,26.6,29.4
9/7/19 18:00,61,29.4,36.2
9/7/19 18:15,71,36.2,52.8
9/7/19 18:30,63,52.8,72.7
9/7/19 18:45,78,72.7,93.5
9/7/19 19:00,59,93.5,92
9/7/19 19:15,41,92,93.4
9/7/19 19:30,53,93.4,99.8
9/7/19 19:45,78,99.8,108.5
9/7/19 20:00,63,108.5,116.8
9/7/19 20:15,75,116.8,119.2
9/7/19 20:30,78,119.2,120
9/7/19 20:45,66,120,130.1
9/7/19 21:00,41,130.1,138.5
9/7/19 21:15,59,138.5,140.4
9/7/19 21:30,41,140.4,139.5
9/7/19 21:45,71,139.5,138.8
9/7/19 22:00,91,138.8,137.9
9/7/19 22:15,59,137.9,143
9/7/19 22:30,42,143,150.7
9/7/19 22:45,42,150.7,167.4
9/7/19 23:00,42,167.4,166.2
9/7/19 23:15,42,166.2,163.4
9/7/19 23:30,42,163.4,167.6
9/7/19 23:45,42,167.6,168.8
11/7/19 0:00,42,168.8,165.8
11/7/19 0:15,41,165.8,163.3
11/7/19 0:30,42,163.3,157.8
11/7/19 0:45,42,157.8,149.9
11/7/19 1:00,42,149.9,130.7
11/7/19 1:15,42,130.7,110.6
11/7/19 1:30,41,110.6,92.8
11/7/19 1:45,41,92.8,NaN
11/7/19 2:00,42,NaN,NaN
11/7/19 2:15,41,NaN,57.9
11/7/19 2:30,42,57.9,60.5
11/7/19 2:45,42,60.5,58
11/7/19 3:00,42,58,56.7
11/7/19 3:15,42,56.7,56.6
11/7/19 3:30,41,56.6,56.4
11/7/19 3:45,42,56.4,53.5
11/7/19 4:00,41,53.5,49.2
11/7/19 4:15,42,49.2,49
11/7/19 4:30,41,49,49
11/7/19 4:45,42,49,55.6
11/7/19 5:00,42,55.6,63.1
11/7/19 5:15,42,63.1,61.8
11/7/19 5:30,42,61.8,59.6
11/7/19 5:45,42,59.6,61.5
11/7/19 6:00,41,61.5,65
11/7/19 6:15,41,65,78.8
11/7/19 6:30,42,78.8,79.2
11/7/19 6:45,42,79.2,83.5
11/7/19 7:00,42,83.5,91.7
11/7/19 7:15,42,91.7,68.1
11/7/19 7:30,41,68.1,66
11/7/19 7:45,42,66,63.6
11/7/19 8:00,42,63.6,74.4
11/7/19 8:15,42,74.4,68.4
11/7/19 8:30,59,68.4,42.5
11/7/19 8:45,55,42.5,44.1
11/7/19 9:00,55,44.1,55.2
11/7/19 9:15,53,55.2,58.1
11/7/19 9:30,53,58.1,46
11/7/19 9:45,55,46,44.2
11/7/19 10:00,51,44.2,34.8
11/7/19 10:15,71,34.8,32.3
11/7/19 10:30,66,32.3,25.2
11/7/19 10:45,41,25.2,21.3
11/7/19 11:00,55,21.3,19.3
11/7/19 11:15,63,19.3,29.1
11/7/19 11:30,56,29.1,24.5
11/7/19 11:45,75,24.5,19.8
11/7/19 12:00,63,19.8,26.7
11/7/19 12:15,71,26.7,29.5
11/7/19 12:30,53,29.5,21.9
11/7/19 12:45,41,21.9,19.5
11/7/19 13:00,66,19.5,19.4
11/7/19 13:15,51,19.4,22.7
11/7/19 13:30,91,22.7,24.9
11/7/19 13:45,75,24.9,31.5
11/7/19 14:00,59,31.5,23.2
11/7/19 14:15,66,23.2,19.8
11/7/19 14:30,63,19.8,16.2
11/7/19 14:45,75,16.2,23
11/7/19 15:00,71,23,21.2
11/7/19 15:15,118,21.2,17.6
11/7/19 15:30,82,17.6,15.6
11/7/19 15:45,75,15.6,24.4
11/7/19 16:00,42,24.4,22.4
11/7/19 16:15,55,22.4,26
11/7/19 16:30,71,26,24.4
11/7/19 16:45,53,24.4,22
11/7/19 17:00,59,22,22.1
11/7/19 17:15,59,22.1,26.7
11/7/19 17:30,86,26.7,34
11/7/19 17:45,41,34,37.9
11/7/19 18:00,56,37.9,47.5
11/7/19 18:15,68,47.5,61.5
11/7/19 18:30,59,61.5,64.9
11/7/19 18:45,68,64.9,73.6
11/7/19 19:00,59,73.6,87.1
11/7/19 19:15,75,87.1,92.3
11/7/19 19:30,61,92.3,104.2
11/7/19 19:45,97,104.2,118.5
11/7/19 20:00,71,118.5,147.2
11/7/19 20:15,78,147.2,128.8
11/7/19 20:30,66,128.8,141.1
11/7/19 20:45,68,141.1,151.5
11/7/19 21:00,78,151.5,152.4
11/7/19 21:15,68,152.4,146.1
11/7/19 21:30,59,146.1,136.2
11/7/19 21:45,41,136.2,109.9
11/7/19 22:00,41,109.9,87.1
11/7/19 22:15,41,87.1,73.8
11/7/19 22:30,41,73.8,69.7
11/7/19 22:45,42,69.7,65.8
11/7/19 23:00,42,65.8,53.9
11/7/19 23:15,42,53.9,51.4
11/7/19 23:30,42,51.4,57.7
11/7/19 23:45,42,57.7,79.1
11/7/19 23:55,42,79.1,81.8
12/7/19 0:10,42,81.8,77.1
12/7/19 0:25,42,77.1,75.4
12/7/19 0:40,42,75.4,75.1
12/7/19 0:55,42,75.1,80.4
12/7/19 1:10,42,80.4,88.3
12/7/19 1:25,42,88.3,84.9
12/7/19 1:40,42,84.9,NaN
12/7/19 1:55,42,NaN,NaN
12/7/19 2:10,42,NaN,86.9
12/7/19 2:25,42,86.9,111.6
12/7/19 2:40,42,111.6,107.9
12/7/19 2:55,42,107.9,95.1
12/7/19 3:10,42,95.1,72.9
12/7/19 3:25,42,72.9,60.9
12/7/19 3:40,42,60.9,51.4
12/7/19 3:55,42,51.4,44
12/7/19 4:10,42,44,40.9
12/7/19 4:25,42,40.9,38.8
12/7/19 4:40,42,38.8,37.8
12/7/19 4:55,42,37.8,37
12/7/19 5:10,42,37,40
12/7/19 5:25,42,40,50.2
12/7/19 5:40,42,50.2,74.5
12/7/19 5:55,42,74.5,90.5
12/7/19 6:10,42,90.5,69.9
12/7/19 6:25,42,69.9,96.1
12/7/19 6:40,42,96.1,85
12/7/19 6:55,42,85,143.1
12/7/19 7:10,42,143.1,231
12/7/19 7:25,42,231,237.5
12/7/19 7:40,42,237.5,215.4
12/7/19 7:55,42,215.4,186.2
12/7/19 8:10,42,186.2,127.8
12/7/19 8:25,42,127.8,101.5
12/7/19 8:40,42,101.5,85.4
12/7/19 8:55,55,85.4,60
12/7/19 9:10,55,60,51.5
12/7/19 9:25,71,51.5,44.3
12/7/19 9:40,41,44.3,36.6
12/7/19 9:55,55,36.6,35.8
12/7/19 10:10,42,35.8,35.5
12/7/19 10:25,59,35.5,26.8
12/7/19 10:40,71,26.8,26.2
12/7/19 10:55,41,26.2,25.9
12/7/19 11:10,53,25.9,44.1
12/7/19 11:25,63,44.1,28.8
12/7/19 11:40,59,28.8,31.9
12/7/19 11:55,41,31.9,30.1
12/7/19 12:10,66,30.1,26
12/7/19 12:25,66,26,35.9
12/7/19 12:40,68,35.9,21.7
12/7/19 12:55,110,21.7,29.7
12/7/19 13:10,75,29.7,28.8
12/7/19 13:25,61,28.8,28.1
12/7/19 13:40,63,28.1,22.1
12/7/19 13:55,41,22.1,23.5
12/7/19 14:10,71,23.5,31.2
12/7/19 14:25,86,31.2,30.2
12/7/19 14:40,150,30.2,30.8
12/7/19 14:55,75,30.8,25.6
12/7/19 15:10,41,25.6,25.6
12/7/19 15:25,53,25.6,34.7
12/7/19 15:40,61,34.7,28.8
12/7/19 15:55,59,28.8,27.4
12/7/19 16:10,55,27.4,35
12/7/19 16:25,63,35,25
12/7/19 16:40,55,25,33.7
12/7/19 16:55,59,33.7,34
12/7/19 17:10,66,34,37.5
12/7/19 17:25,68,37.5,46.6
12/7/19 17:40,68,46.6,43.9
12/7/19 17:55,68,43.9,49.3
12/7/19 18:10,78,49.3,58
12/7/19 18:25,41,58,61.1
12/7/19 18:40,71,61.1,73.1
12/7/19 18:55,56,73.1,73.9
12/7/19 19:10,41,73.9,98.1
12/7/19 19:25,0,98.1,110.1
12/7/19 19:40,63,110.1,117.4
12/7/19 19:55,63,117.4,106.5
12/7/19 20:10,59,106.5,104
12/7/19 20:25,71,104,90.9
12/7/19 20:40,59,90.9,88.6
12/7/19 20:55,75,88.6,83
12/7/19 21:10,97,83,70.1
12/7/19 21:25,110,70.1,67.6
12/7/19 21:40,53,67.6,68.2
12/7/19 21:55,55,68.2,64.2
12/7/19 22:10,42,64.2,63.2
12/7/19 22:25,42,63.2,63.8
12/7/19 22:40,42,63.8,56.4
12/7/19 22:55,41,56.4,53.8
12/7/19 23:10,41,53.8,55
12/7/19 23:25,41,55,56.8
12/7/19 23:40,41,56.8,56.4
,110,56.4,54.1
,41,54.1,50.2
,41,50.2,52.9
,41,52.9,54.1
,41,54.1,48.4
,41,48.4,52.9
,41,52.9,58.6
,41,58.6,NaN
,41,NaN,NaN
,41,NaN,67
,41,67,72.6
,41,72.6,72.8
,41,72.8,68.1
,41,68.1,54
,41,54,53.3
,41,53.3,52
,41,52,53
,41,53,52.8
,41,52.8,49.7
,41,49.7,49.5
,41,49.5,49.6
,41,49.6,49.6
,41,49.6,50.5
,41,50.5,59.6
,41,59.6,69.8
,41,69.8,76.1
,41,76.1,82
,41,82,81.4
,41,81.4,83.9
,41,83.9,90.3
,41,90.3,82.7
,41,82.7,76.5
,41,76.5,61.8
,41,61.8,47
,41,47,45.9
,55,45.9,40
,56,40,45.6
,41,45.6,44.4
,55,44.4,46.4
,41,46.4,41.5
,56,41.5,39.5
,41,39.5,43.1
,55,43.1,30.4
,56,30.4,25.2
,56,25.2,19.2
,55,19.2,29.3
,82,29.3,21.9
,75,21.9,26.4
,56,26.4,20.1
,118,20.1,20.5
,78,20.5,22.1
,0,22.1,17.3
,103,17.3,16
,68,16,18.8
,137,18.8,19.5
,66,19.5,18.5
,78,18.5,19.1
,63,19.1,21.2
,110,21.2,15.5
,71,15.5,16.7
,97,16.7,15.9
,82,15.9,19.7
,75,19.7,18
,51,18,18.4
,97,18.4,17.3
,75,17.3,21.4
